episode,total_reward,steps,success,epsilon,q_states
1,-735,200,0,0.999,58
2,-357,127,1,0.998001,73
3,-639,200,0,0.997002999,103
4,100,1,1,0.996005996001,104
5,-217,98,1,0.995009990004999,143
6,-688,200,0,0.994014980014994,181
7,-596,200,0,0.993020965034979,226
8,-30,33,1,0.9920279440699441,236
9,-808,200,0,0.9910359161258742,262
10,-828,200,0,0.9900448802097482,291
11,-752,200,0,0.9890548353295385,335
12,-343,141,1,0.988065780494209,370
13,-93,71,1,0.9870777147137147,397
14,-813,200,0,0.986090636999001,436
15,-571,200,0,0.9851045463620021,482
16,-121,68,1,0.98411944181564,507
17,-938,200,0,0.9831353223738244,539
18,-18,48,1,0.9821521870514506,550
19,-681,200,0,0.9811700348643991,587
20,-762,200,0,0.9801888648295347,612
21,-242,122,1,0.9792086759647052,640
22,-706,200,0,0.9782294672887405,688
23,-480,193,1,0.9772512378214517,739
24,-646,200,0,0.9762739865836303,782
25,-643,200,0,0.9752977125970467,796
26,-719,200,0,0.9743224148844496,853
27,-716,200,0,0.9733480924695651,910
28,-352,162,1,0.9723747443770956,945
29,-636,200,0,0.9714023696327185,993
30,-693,200,0,0.9704309672630859,1020
31,-595,200,0,0.9694605362958227,1084
32,-256,103,1,0.9684910757595269,1126
33,-7,36,1,0.9675225846837673,1139
34,-579,200,0,0.9665550620990835,1160
35,-348,162,1,0.9655885070369844,1219
36,-850,200,0,0.9646229185299474,1257
37,-556,200,0,0.9636582956114175,1315
38,-150,80,1,0.9626946373158061,1333
39,-101,65,1,0.9617319426784903,1361
40,-433,200,0,0.9607702107358118,1404
41,-621,200,0,0.959809440525076,1453
42,-626,199,1,0.9588496310845509,1519
43,-700,200,0,0.9578907814534664,1564
44,11,15,1,0.9569328906720129,1570
45,-501,189,1,0.9559759577813409,1610
46,-451,199,1,0.9550199818235596,1654
47,-634,200,0,0.9540649618417361,1712
48,-828,200,0,0.9531108968798944,1747
49,-659,200,0,0.9521577859830145,1793
50,-18,62,1,0.9512056281970315,1815
51,-318,143,1,0.9502544225688344,1854
52,-686,200,0,0.9493041681462656,1896
53,-572,200,0,0.9483548639781193,1934
54,-610,200,0,0.9474065091141411,1990
55,-621,200,0,0.946459102605027,2031
56,-354,174,1,0.9455126435024219,2084
57,-672,200,0,0.9445671308589195,2131
58,23,37,1,0.9436225637280606,2146
59,-653,200,0,0.9426789411643326,2188
60,-399,152,1,0.9417362622231683,2219
61,-580,200,0,0.9407945259609451,2275
62,-676,200,0,0.9398537314349842,2309
63,-790,200,0,0.9389138777035492,2343
64,-740,200,0,0.9379749638258457,2391
65,-629,200,0,0.9370369888620198,2442
66,-205,106,1,0.9360999518731578,2473
67,-513,200,0,0.9351638519212846,2518
68,-686,200,0,0.9342286880693633,2548
69,-526,200,0,0.933294459381294,2584
70,-584,200,0,0.9323611649219127,2626
71,-557,200,0,0.9314288037569908,2663
72,-221,123,1,0.9304973749532338,2699
73,-286,130,1,0.9295668775782806,2724
74,-669,200,0,0.9286373107007023,2783
75,-159,75,1,0.9277086733900016,2808
76,-706,200,0,0.9267809647166116,2858
77,35,22,1,0.925854183751895,2865
78,-450,185,1,0.9249283295681431,2918
79,-626,200,0,0.9240034012385749,2953
80,-79,56,1,0.9230793978373364,2978
81,-801,200,0,0.9221563184394991,3002
82,-410,163,1,0.9212341621210596,3040
83,-57,49,1,0.9203129279589385,3054
84,-583,200,0,0.9193926150309796,3104
85,27,32,1,0.9184732224159486,3115
